,level_0,index,lemmatized,label
272,272,645,strength train feel missing train strength lose training powerlifting seems impossible combine proper training bigger stronger feel better mat term time dedication find balance better fighting general seems impossible studying working lifting time feel good fully committed sport haha,bjj
273,273,1135,older started cartilage either knee due year military told since retirement knee replaced however currently fat reason started knee ache buckle day hope lose weight see bad knee hurt keep replacement may done knee replacement even safe love stop input,bjj
274,274,806,school teach heel hook teach every level heel hook leg entanglement safe good gym culture,bjj
275,275,1327,roll best friend almost always rolling partner reason controversial discus time amp x b way telling roll le maybe month le need forever probably possible amp x b help appreciated,bjj
276,276,1033,guy started training month ago fell love sport sadly subluxed dislocated shoulder already happened went make mri doctor said bankart lesion think still train without getting surgery knife able sport please help,bjj
277,277,267,trained since late august around back per week lucky time week kid class available adult class roll wrestle adult teenager bunch adult however fed pissed every time wrestle adult usually stronger ground pull frame cheap kimuras get fed feel hopeless training always lose ground adult even training year feel absolute shit thing adult agree quite good takedown always double hook white belt even stripe good takedown hit ground never submit defend submission piss right sometimes make quit honest bad kick ego lose someone even trained year sorry childish put much last year focusing playing rugby decided last week train time week hour per session overseas holiday wanted start year good sorry comment understand long stupid probably bit unrelated reading anyway cheer fucking idea rule community sorry comment inconvenience,bjj
278,278,1428,trying dick dude inrolled morning breath god awful,bjj
279,279,1052,team participated ruleset mutually agreed upon still super frustrating watch b team absolutely violate th planet final stalled lose ridiculous overtime ruleset ultimately lost prize,bjj
280,280,1014,time saw someone say something tournament video person head exploded brilliant saw roger gracie video said reach shoulder side control n grip side pull back control work time swear saw roy dean video someone bottom side went underhook kicked leg guy armpit omoplata,bjj
281,281,722,year since gotten promoted blue belt india instructor talented guy scene brown belt plus kg heavier roll daily somehow kick as regular basis feel always step ahead feeling frustrated keep rolling,bjj
282,282,86,weekend gordon responded pena call saying stay week fight gutted see daisy fresh show coming end absolutely love show grown fond psf team much respect work ethic care fancy gym old laundromat rolled love made formidable team mt vernon follow youtube anything flo documentary something mad respect heath whole team especially andrew wiltse jacob couch sounded hard upbringing hope always see well except face gb team amp x b flo need put episode first spread week month break repeat annoying happens least weekly episode sporadic,bjj
283,283,1091,according gordon nicky came stalling strategy lotion grease make point end athlete obligated use long sleeve rashguard spat least long sleeve rashguards,bjj
284,284,1024,may generational thing different local culture class open mat scheduled pm expect mat ready people regardless belt rank late people late punishment quick ten push ups joining appropriate group applies purple belt skip warmups even brown black belt showing time essential part respecting training partner time valuable including minute help reshuffling group make sure people appropriate training partner take attention away teaching drilling could mma competition gym mindset lot younger fighter coach schedule fight expectation fighter showing class time certain number time per week otherwise different fighter opportunity compete say late inexcusable people publicly shamed late traffic real kid class end minute adult class begin etc quick late push ups join two minute class start way le annoying white belt skipping drilling showing roll,bjj
285,285,250,title said head bitch guy clear click asshole walk around acting shit blue belt way see narcissist person extremely manipulative power influence people actually nice around pain gain competitive mindset ok asshole attitude crazy part else know asshole constantly talk behind back talk self centered act shit blue belt berates people losing match loses well life keep learning training even owner constanly talk question someone asshole asshole yet around lovely telling admire determination focus wtf feel highschool bullied popular kid nobody anything stop trying affect,bjj
286,286,1069,watch gordan ryan v nicky rodriguez without sign ufc fight pas,bjj
287,287,1000,clearly k guard work well lachlan gotten huge win adcc curious focus something butterly enter leg shown proven success time time favor k guard,bjj
288,288,626,demoted since consistently took year blue belt shocker came back competed regularly placed nothing crazy basic hobby ist purple end decided join military shipped given brown belt honestly feel going away gift feel earned every belt stripe felt coming fast forward year month later army crap time find new gym placing brown belt motivation continuing wear purple compete brown ever even roll since getting besides basic training mostly non trained people expecting mauled blue belt ready question wrong dishonoring removing belt,bjj
289,289,744,please delete post allowed ticket john danaher seminar weekend saturday pm sunday pm unable attend please let buy per ticket,bjj
290,290,695,working time arm triangle curious somebody know variation used high level competition never seen match big downside version see normal north south choke used lot high level arm variation,bjj
291,291,110,hey blue belt competing next month abu dhabi juvenile blue belt kg watching replay live stream e v e r n e division grandma try pull guard even time double guard pull prefer takedown pas guard nobody even give chance hold take obviously need pas guard tip remember stupid thing first person double guard pull get entire point ajp,bjj
292,292,1470,r first comp couple day clarify thing choke chin even cranking example rnc chin tucked ezekiel fully allowed block opponent airway holding mouth shut backmount waterboarding rashguard mount north south fast apply joint lock backmount point unhook leg rehook point importaintly tf bicep slicer legal competing white grappling industry tournament,bjj
293,293,1268,broad overweight yet strong one find difficult submit roll easily,bjj
294,294,949,hola busco entrenamiento cercano este pueblo voy visitar en enero estaba pensando en motril granada para entrenar si hay colcheneta abierta clases en estos ciudades si hay otra gymnasio ma cerca de lajarón lo siento por mi españold gracias por tu ayuda,bjj
295,295,694,head coach gym owner deal guy giving back brown belt day promotion deal instructor day promotion leaving belt club saying feel brown want compete purple belt first ever experienced anything hypothetically happened gym,bjj
296,296,1471,title say eye important aspect every belt eye white learn basic blue starting find game purple making game complex browen rounding game black asking fun see people view,bjj
297,297,1087,share u experience think real life self defense art use specific technique concept encountered opponent training train discipline discussion,bjj
298,298,1526,friend competing see live stream available flo missing something,bjj
299,299,1203,since grappling art obviously miss big part self defense whole part conflict happens going ground discus art transfer better real life conflict already moved ground let u consider good stand clinch takedown skill thing went bad ended ground single opponent art expose le potential danger excluded common rulesets kick punch bite leave weapon discussion question already complex enough guess art emphasize technique principal prone danger non restricted fight maybe another grappling art missing better match,bjj
300,300,320,recently passed halfway mark blue belt realized never experienced blue belt blue spoke upper belt pretty much agreed training largely hand white belt watch ton instructionals train everyday still suck exactly need work every single day never moment thought plateauing fact idea seems kind arrogant missing something blue belt blue guy experienced,bjj
301,301,753,working rumalo style knee cut cross collar choke caught higher belt partner coach either make joke disrespectful straight take offense admittedly time use speed power overcompensate shitty technique higher belt nothing seems piss training partner cross choke proper etiquette try advance position much possible higher belt make flowy,bjj
302,302,425,good guillotine instructional tall gi player love going tend favour chin strap guillotine occasional arm think missing finer detail generally feel deep getting choke tried watching marcelo difficult learn tends favour arm nogi oriented another ultimate guillotine everywhere tall gi player cheer,bjj
303,303,6,partner competitor always pulling guard counter well method,bjj
304,304,12,see title lobby weekly thread question hobbyist master gi white belt traveling sf lv two week looking friendly gym roll compete war mat training advice staying soma sf strip lv romulo melo sf look interesting appreciate advice,bjj
305,305,365,kimura far favorite submission grip even sub kimura grip strong versatile focused hunting kimuras every chance recently caught purple belt roll regularly surprised heck lol hyped looking info maybe someone good hunting kimura grip position suggestion,bjj
306,306,696,curious many people fight starting going searching fight lol please tell story,bjj
307,307,972,much amazing knowledge wondering best way front back particular topic interested first recs,bjj
308,308,1608,smaller guy find position super useful work well gi nogi curious people finding success,bjj
309,309,254,stretch mark jits often see people martial art mainly since little long remember pretty large stretch mark arm chest lat muscle shoulder leg never overweight anything curious see many people twin brother train aswell though always trained especially term general fitness alongside,bjj
310,310,717,tainan dalpra different beast guard passing incredible love watching match training tape else consider cream crop gi guard passer competing right current f champ part heavily reliant guard going without guy leandro lo lucas lepri mendes bros circuit feel even noticable lack high level exciting guard passer right,bjj
311,311,37,year month enjoy people trained nice helpful however come arrogant big ego condescending example rolling guy year younger believe used wrestle high school picked fast usually smash tapped couple time seems everything recently done rolling asked certain takedown show told need work hand footwork first finally show takedown helpful way proceeded act beating face fight bang bang bang face felt awkward felt trying intimidate act alpha another dude rolled kept kind laughing arrogant way told something bottom side control told trying frame shrimp escape enjoyed quit kind bad sportsmanship condescending behavior nice rolled whether lose someone beat someone treat way respect kind behavior brings back childhood trauma getting couple fight someone little bigger bullying general advice greatly appreciated,bjj
312,312,1184,hello week reno area wondering sub recommendation gym may woman training used training guy travel nice able train woman,bjj
313,313,1505,guy cm kg lb looking buy new gi already tatami gi size looking buy gi sanabul essential v ultra light since sanabul different sizing chart bit trouble according current weight bulking lose bit weight shall start cutting eventually take,bjj
314,314,710,mica galvao amp diogo real coming summer teach camp armbars week world class guy euro leuven belgium info check,bjj
315,315,821,live australia grappling dummy aud use grapple practising maybe even hip throw suplexes,bjj
316,316,859,iv recovering something probably jumper knee almost month feeling pretty good today considering going back tomorrow stretching today feel click knee cap moving back felt tendon pretty sore feel bruised behind knee cap much longer till thing,bjj
317,317,1210,finally saw hit job class tonight heard rumor thing happening instructor tell top student smash low level seen soo many youtube video thing never witnessed person glorious white belt training rolling another white belt rolling newbie female white belt vanilla zero training shape barely grasping first couple move guy smashing every chance newbie thought excessive rude hell see guy trying win hoping professor going give black belt spot taking break sitting next professor top belt competes regularly watching getting smashed left middle class role took break water professor whispered top student ear looking guy smashed hell woman finally seen think ever satisfied see person especially seeing guy treated female white belt let u say hit job executed see thing necessary essentially humbled dude calmed sure carry next time roll another low level let u hope roll better someone le experience guess someone eventually put place else story successful way protect low level belt hurt discouraged suggestion realized early journey smashing people skilled white belt level prick help end day method school practice see someone smashing someone new old young etc,bjj
318,318,300,low key sport gay guy closet sorta try scared stiffy tackling guy ground behind,bjj
319,319,35,recently talking teammate washing belt think agree wash regularly however told washing much washer ruin hand wash truth throw thing washer every class week disinfect spray reference wear fuji belt thank guy great weekend,bjj
320,320,394,judgement wondering wondering lot people take every opportunity possible roll personally absolute fun part see many people walk mat class never open mat etc regularly basically never rolling judging wondering people rolling training,bjj
321,321,669,moving oost soon looking recs good spot roll area ideally somewhere morning class timetable gym online seen seem start mind option couple kickboxing class week focus jits year essential,bjj
322,322,60,wondering difference two understand self defense based gracie style better pick two,bjj
323,323,132,extravagant gi belt combo person could talking gucci roll class limousine riding diamond ring wearing kiss stealing son gun,bjj
324,324,412,trying make decision whether continue training current gym try different week since started new gym total class cancelled gym recently opened still process establishing consistent training schedule enjoy community training receive gym nice think cancellation temporary issue believe gym potential continue training gym see thing develop maybe time concrete schedule,bjj
325,325,74,successfully mean either lead submission near submission nice could make collection match specific technique employed study purpose e oghan v xande rafa mendes clip catch andre galvao choi choi choi bar choi choi v fawal ricuarte choi choi v unnamed video nicky ryan v phil harris polaris,bjj
326,326,1117,shocked see many long time player never choked purple belt training year light dim time count view poll,bjj
327,327,252,time standup game basic takedown take beginner people even worse standup huge gap ground standup game obviously time become fulltime judoka og wrestler easiest way become effective shortest amount time opinion first skill need standing position easiest effective takedown safety concern overlaping game gi nogi,bjj
328,328,148,problem many time downloaded chapter instructional mobile phone try watch fanatic app click play button access instructionals watch instructionals maybe watch chapter instructionals downloadable start playing click problem solution greeting germany,bjj
329,329,904,love depression self diagnosis diagnosed va make hate going love getting feel impossible always workout morning year marine corp pt seem going morning session else ever vet struggle,bjj
330,330,1077,wondering intensity problem little bit olympic weightlifting main takeaway sport majority work around range heard similar thing russian wrestling program feel come sparring section class people pretty hard thought,bjj
331,331,93,strength conditioning megathread open forum ask question matter simple general strength conditioning relates use thread ask question strength conditioning diet nutrition advice request feedback workout routine brag gainz yoked stay swole click see previous strength conditioning monday,bjj
332,332,815,posting learn others use garmin watch heart strap track workout,bjj
333,333,1156,class start pm turn early course start warm ups coach designate time warm ups stretching hang class start pm straight drilling either drill hour roll min beginner fundamental class drill min roll hour level class advanced class setup wondering bad normal purple belt lead class last friday coach could make started u minute warm even said reason warm ups today start u warm,bjj
334,334,58,white belt wednesday wbw open forum ask question matter simple common topic may include limited technique etiquette common obstacle training much keep mind two faq ask away great wbw click see previous wbws,bjj
335,335,1380,normally train class day per week class per day weight amp cardio day per week currently situation get run bad luck started toe hold ankle tear last comp tried strapping could proper lift could roll properly half guard without ankle week weight light training flu mean gym infect people plus lethargic dead straight flu chest ear infection put week could train finally last week back normal last night perforated ear drum mean rolling week lift attend whatever class drilling drill rolling round find people watch instructionals video grow knowledge apparently go bad luck run ffs without proper training frustrated stuff people done bad luck run,bjj
336,336,612,yet another example every cop least hold jj blue belt yo wrestler pin side control cop probably shot dead,bjj
337,337,903,first round applause journey found school yet search great already many demon battled secondly tricky part inverted squid guard game giving trouble top side arm quite getting lat hook need uke us right arm recover quarter guard advice third swole soon started lifting yet best plan best balance nicky rod forearm galvaos delts kade routolo speed bob accounting work together said ah sigh yee sic help lot assume gnc whatever,bjj
338,338,1569,example friend visited son college state went open mat son gym let friend train gym week made pay month,bjj
339,339,830,new bloke start gym october last year mid shape decent enough lad absolutely terrified literally almost irrational fear level anxious gotten point people actively avoiding training unless forced else left partner anytime drill technique almost comedy sketch cover bollock hand try push away locking tight etc hard explain without physically seeing almost think training partner fire touch burn bizarre manage drill tap single bit pressure applied etc roll either sits explicitly state injury past injury concerned regardless hate see people avoiding help without sort saying grip pal idea,bjj
340,340,623,hello looking new gym train within costa mesa area wondering train currently pricing may advance inside scoop expect new member academy folded_hands,bjj
341,341,701,flair still train suffering minute hurt force head hand direction turning head position cause pain thing push head push force back pain consultant said try everything normally plough normal wondering people flair,bjj
342,342,547,much school arrea mainly judo wrestling gym around,bjj
343,343,1386,guy think finally beat gordon best chance let u say adcc ruleset sub watching adcc seems kaynan best chance tim spriggs heel hooked kaynan gordon could easily exploit kg guy probably small may better chance sub even sure technical level gordon say craig sub meregali far behind craig think close gordon nicholas think craig may technical gordon style well suited comp heard grumbling nicky ryan best bet beating sub watching adcc hard believe though wrestle canuto,bjj
344,344,1395,chicago next week day wondering place drop evening class gi travel gi call_me_hand,bjj
345,345,1048,dv charge say anything believe whatever circumstance exist scared school publicized better option scared whole dream life fight mma training right access,bjj
346,346,79,guy competing first competition coming weekend white belt gi gi scare although looking forward day concerned result may may advice give take day help greatly appreciated,bjj
347,347,117,recently moved california south africa getting job place stay whole host thing impossible afford membership group train together place host open mat open public miss training much helped toughest time life always help suggestion greatly appreciated,bjj
348,348,735,member club mostly due moving curious else experience round timer roll time open mat question current school round timer going rolling view poll,bjj
349,349,229,search video every technique high level guy even like gordon ryan john danaher craig jones buy instructionals example maybe someone want focus learning escape someone gordon ryan search free technique show youtube instructionals fanatic opposed buying escape instructional fanatic website,bjj
350,350,329,competition big part many grappling sport including judo wrestling best way prepare episode shintaro peter deep dive various aspect competition preparation mental preparation weight cutting join discord server start chatting u grappler supporting u patreon amount help listen episode following link shintaro website apple podcasts spotify youtube google podcasts anchor,bjj
351,351,422,thousand meme people feel terrible accurate super messed joint aching day,bjj
352,352,608,white belt noticed fellow big guy small either lb simply hard take soon handshake whereas usually judo fighting grip trip takedown deal opponent lunging almost tackling takedown,bjj
353,353,846,vast majority nogi attack bottom nowadays seem leg lock wrestle ups attack complement two learning attack bottom sitting guard day technique arm drag standing back take arm drag kouchi top turtle ankle pick leg trip leg hug leg stand etc noticed almost exactly attack freestyle wrestling literally difference attacker sitting ground agree disagree,bjj
354,354,804,ok nothing overcome tried break grip strong strong least hard something twice weight probably lot technique yet advantage,bjj
355,355,215,lot transition bicep slicer omoplatas far side armbars etc white belt ask let arm floor create scramble try wiggle arm legitimately answer late stage escape basically fucked bridging pretty low heavier awake p ask well see coming earlier hide arm better caught late specific defence either,bjj
356,356,136,elbow thigh double stack always breaking closed guard outside internet never seen complain tell success using however understand potential success rate peak blue belt see lot people saying hate dick move wanted clarity,bjj
357,357,1287,buggy choke bug gym recently white blue belt trying getting kind tired people letting pas side attempt terrible buggy choke usually frame face neck forearm lately putting shin across face hoping stop attempting upset noticed guy seemed bothered feel bad,bjj
358,358,1528,used wrestle lot dad growing enjoyed lot kickboxing day mat trained getting fixed teacher took u train session much fun knew going yeah competition coming month helpful enough leave advice first tournament appreciate started month back two month comp training half year,bjj
359,359,243,training year dedicating good amount time week rolling keep physically fit hour private lesson per week watch instructional series question amateur competitor advice optimising trajectory progression sport mistake make learning process others learn differently personally wish utilised video footage roll earlier seems accurate way gain feedback focussed pin escape early stage keen thought,bjj
360,360,853,watched rizin weekend discovered satoshi amp triangle game result good need best triangle specialist,bjj
361,361,69,think gordan ryan self conscious miata corolla vehicle practitioner work construction pretty much drive f similar pickup truck club speak think need car buy gym mix vehicle one stand jeep wrangler subaru hatchback thought,bjj
362,362,636,pretty good listening people show technique much,bjj
363,363,1027,training year small gym big good gym far away keep thinking switching various mma fighter high level people tell coach good stay improve switch little bit see feel,bjj
364,364,1500,new spending almost time laid back opponent top many seem control back even blue belt tell tricky back however gotten comfortable back struggle actually much defend try occasional sweep hal guard top around second later back tip start little controlling position selection,bjj
365,365,1611,wish last name ruotolo imagine opponent shitting brick see name bracket galvao cool,bjj
366,366,787,wrestled highschool two year year later decided last night going class let start difficult bring class felt great going feel kung fu panda fox lookin dude say level zero lol realistic become fluent first hour class advice remember thing practiced class week gym coach jeremy horn advice watch bunch ufc fight advice,bjj
367,367,216,buggy choke sparring today could elbow way towards knee rest well looked forearm bone shin started apply squeeze heard small pop coming shin afterwards bruise little radiating pain fracture else could caused popping sound competition weekend figure injured,bjj
368,368,166,converting garage gym reduce cost opted mm jigsaw pro mat wall proper wall mat expensive best use fix mat wall thinking grab adhesive nail mat wedged floor wooden trim fitted mat slightly curved sort adhesive needed,bjj
369,369,1007,started training roughly month ago time week roughly hour per week half hour open mat rolling half drilling rolling thinking private lesson sound good idea new develop pace current training structure level knowledge basically nothing,bjj
370,370,103,piercings unable practice month due life chaotic past year needing prioritize thing away training killinggg meee week ago nostril pierced much longer wait definitely long take fully heal healing month half think issue take hour training three time week think extremely irritating close,bjj
371,371,1322,question rolling partner life partner hell get graded blue belt caused much disappointment wife roll older professional roll kind smash nicely think coach see roll little bigger tiny bit technical using strength martial art year grappling disappointed ranked thing together else situation handle,bjj
372,372,131,brendan say anxious gordon tummy getting upset,bjj
373,373,632,x sale looking none seem popped always sale fanatic especially exchange rate usd brutal,bjj
374,374,770,choke going triangle friend see work pulling hamstring hard ended cramping releasing choke thought,bjj
375,375,563,basically looking specialise preferred position blue belt brings success purposefully play different position specialise later journey,bjj
376,376,195,little trained year gi bigger dude laid back technical reactive style said noticed discouraging thing roll always fairly well sometimes mma guy come visitor intense style give lot trouble said sometimes certain thing mad lack better word roll exceptionally better coach even noticed question experienced trick rolling better going angry negative headspace still fun cross train stuff new people always super hesitant roll safe honestly give thing never coming back pretty bad injury think subconscious wondering else face well understand training trying win training anything however able turn need make good account new place especially best could fun learn positive manner help appreciated,bjj
377,377,291,wanted share latest blog post grappling enthusiast post take deep dive world grappling gear provide comprehensive guide best gear available market whether mma grappling based martial art guide covered,bjj
378,378,361,manily train gi darce choke top half guard hard hit since instructional saw move trought gi immagine something true noticed darces anaconda choke much used gi respect gi,bjj
379,379,524,new whitebelt struggled getting advantageous position time sparred seen forum well gotten tip instructor relax found difficult due wanting let opponent good position thus holding stiffen whole body rolled black belt gym recently demonstranted relaxing maneuvering around moving easily weigh muscular pound started implementing relaxed style able anticipate opponent move counter hope sharing might help someone new well think stiff explosive running unknown maze blindfold inevitably going run wall,bjj
380,380,919,training gi year decided gi well week never done gi wanted aware difference style etc beneficial general helping gi position movement etc many,bjj
381,381,392,many school seen many different blue belt almost none fundamental list better standard curriculum rank,bjj
382,382,122,let u say bodylock behind standing grip allows enough control time transition whatever talking unbreakable tidbit better grip limb wrist control grip v gable grip bodylock rough guide grip suitable given scenario come experience,bjj
383,383,1440,went san diego guy gym take two hour gi class class guy talking star struck took photo instructor asked big guy teaching class laughed andre galvao bad practicing three year idea andre galvao,bjj
384,384,1116,hey apologize advanced post come ignorant misguided kind thinking class lately learning advanced technique merit context competitive sport little merit context mma street let clarify someone desire compete mma somebody fun exercise hope could come handy ever came guy felt sport aspect kind lost way term practical application lot stuff taught seriously hurt real defense situation cage concern could give someone false sense security could hurt wondering thought,bjj
385,385,127,recent post received lot helpful advice seting shooting low single miss anything follow standing back,bjj
386,386,506,year old stripe white belt month month break injury lift weight fairly regularly add cardio routine pound obviously struggle bit running kind kettlebell workout better,bjj
387,387,1099,recently moved within five minute walking distance grappling gym able train three session day around hr max college averaging session week approach training differently high v low volume setting drilling le rolling working escape giving position save energy gym informal basically open mat instruction whatever approach tapering volume intensity prep comp,bjj
388,388,1460,bigger guy prep competition training partner weight class think maybe training partner whole gym compete open ultra heavy division rarely chance train due different work schedule,bjj
389,389,1199,coach lot kid class alongside daily adult session matter show kid always predisposition going headlock guillotine started realise iron pillow popularised john frankl believe learned henry akins incredibly flexible tool stand time someone begin wrap head expand minute video happy answer question feedback critique appreciated little back exposure example still better getting finished especially someone bigger heavier jump neck point could add interested,bjj
390,390,1483,hello month white belt year old foot cm tall kind athetic strong lifting background play guard found body type suited butterfly guard shin shin slx x guard recently passing guard wondering technique suite better technique good smaller guy opinion headquarters position side smash x pas knee cut combo good smaller guy better taller guy thank much opinion help appreciate nice day,bjj
391,391,355,interested competing wondering day bracket might scheduled master blue belt female,bjj
392,392,1379,last year started team mexico week ago student told ordered christmas present super pumped last sunday finally delivered think super cool wanted share,bjj
393,393,1520,hey involved grappling seventeen year judo wrestling growing seven year current gym teach gi class twice couple time week issue last two year purple belt year training five time week last year closer two three time week issue started guess tested brown belt second time two year ago first time tested told work gracie self defense stuff think nonsense went ahead borrowed book memorized fine second test association head pretty much everything gi focused even though gi class separate school week open mat gi week anyway right hold people back reason reason think much promoted four people brown belt next day say deserving anyway two year ago since trained minimum twice week mostly due life stuff sometimes four five still teaching gi class whole time anyway getting charged gym due couple year recently head coach asked start paying never spoke assumed paying compensation teaching gi feel kind last straw closer gym open mat offered teach tuition deal year back first started training lived ten minute away current gym since moved forty minute away stayed loyalty free membership wrong wanting switch feel learn ton current older hobbyist focused head coach guy give decent roll gym different said hold back rank self defense mostly gi,bjj
394,394,454,besides obvious genocidal dickhead past historical figure jitz fuck please name figure submission use mine guy decided led headlight good idea break arm via armbar,bjj
395,395,276,tried venum one bit annoying best knee pad,bjj
396,396,1361,useful guard pass guard passing combination nogi,bjj
397,397,1136,son month credential teach striking art fact continue lineage striking dad wrestle grade school quit judo barely blue belt jits opinion starting kid wrestling judo jits three pro con,bjj
398,398,359,typical day nda long warm ups drill etc ego love weed say concentrate conditioning gym,bjj
399,399,145,stomach surgery end december planning return class next weekend nervous going absolute trash mean best still white belt able train terrified going mess everything going forgotten important thing scared going hurt core strength expect perfect anxiety making back even though love dumb else returned surgery feel comfortable prepared return thank suggestion,bjj
400,400,1321,couple hyperfly mega tight best loose fit casual roll,bjj
401,401,781,posted instagram video takedown defense woman wrestling mod deleted topic going,bjj
402,402,292,watched first time youtube feel overcome much easier punched,bjj
403,403,1195,girl big thigh gi pant fit leg recently tatami fighter h pant perfect length close fit along thigh bend leg struggle butt cover properly recommendation much longer even lose weight leg still going annoyingly large genetic,bjj
404,404,1181,interesting exchange purple belt rolling last night great dude strong competitive kind war roll anyway fun little accident happen elbowed face black eye forming accidentally cranked kimura wrist lock slipped went finger total accident apologetic combat sport happens told dude come violence shake head laugh legitimately enjoy roll get little chippy catch face bloody nose split lip black eye always since kid exciting imagine person feel way else love physical confrontation totally join broshido aspect self improvement side thing,bjj
405,405,92,coin buy grappling dummy wanted frankenstein using kg punching bag,bjj
406,406,119,ever l l discectomy even l long returning mat anything particular returning extra stretching core workout etc appreciate feedback,bjj
407,407,1378,hello loving pas andre show video believe usually called variation sao paolo pas usually problem getting arm behind back walk foot around side trapped arm struggle come next far understand supposed keep partner flat back angle hip leg compared leg hip increase make super hard keep foot closed behind back partner usually comming shoulder trapped arm facing direction prevents angle increase able open guard anymore solution put shoulder aggressivly chest video partner seems pain pin upper body mat making sure stay flat missing something,bjj
408,408,44,longest time waiting either john danaher gff escape instructional lachlan giles fundamental escape instructional daily deal today managed john danaher new wave closed guard daily deal paired flash sale coupon thought maybe instructionals never make daily deal flash sale decided wait bit longer good thing right lachlan giles escape instructional daily deal paired flash sale,bjj
409,409,1204,whenever watch open guard technique seem work mat underlying fundamental principle using way improvise open guard sweep,bjj
410,410,526,week getting absolutely smashed first submission open roll stripe white belt failed take attempt ended guard made mistake ended slipping side control minute two landed arm bar could think holy shit every step roll made sense way story time appreciate,bjj
411,411,523,solid reason never roll someone someone rage time amp think done stank mouth potential list thought cut someone,bjj
412,412,1112,dirty gf said choke put head arm started cry could stop laughing might single,bjj
413,413,1521,trigger warning started recently realize may end causing old trauma come surface ex hit past obviously anger issue guess kind afraid throughout relationship sexually assault anything never respected several occasion gave said repeatedly saying easier point lay silently waiting year ago never told pretended never happened head recently started certain move brought flashback instance ended complete meltdown class cry non stop feel experiencing processing pain year ago first time grateful class making realizing still affected sure come next keep going class afraid going keep breakdown wondering common experience woman start handle guess going watch video desensitize stuff shocked class kind expect good thing coach amazing noticed panicking best support calm therapy scheduled session monday talk continue think excellent life skill woman sure good idea right think,bjj
414,414,935,helio gracie picture must replaced picture gordon ryan,bjj
415,415,1089,hellooo first time using ask opinion train egypt cicero costha academy start buisness bag athlete especially buisnes opinion wished training bag wanted add feautures favorite style,bjj
416,416,99,supposed co main today wno kind curious reason injury scheduling conflict etc,bjj
417,417,109,trained every gym city much old school coach care second great went downhill le people training le competitive etc rd biggest technical session much suit style class split grappling mma found situation could find looking city planing move anyway current city small le job etc,bjj
418,418,1469,hey psychology graduate student university trier germany part research team focus characteristic effective practicing attaining expertise put different term conducting study ask question practice become good find conducted short online survey allows participant share information exactly practice specific skill gaining expertise various type sport important part research looking people practice teach practice kind sport partake study survey anonymous voluntary purely scientific non commercial end questionnaire individual exercise profile reported back partake raffle amazon voucher worth euro link thank much helping u research mod allowing post anymore information project question feel free dm result two year,bjj
419,419,106,psychology student studying nottingham trent university england invite thread taken part least month take part experiment take minute involves working memory performance test interested seeing good may take part research need using desktop keyboard required click link bottom post directed experiment part final project help massively information need information sheet need ask question active thread short question need answering immediately result study feel free email follow many jake,bjj
420,420,536,hey guy join gym tried class fun realised live rolling unless white belt three stripe situational rolling beginner bad find new gym note gracie franchised gym legit black belt instructor,bjj
421,421,784,little background start grew judo brown belt trained mma year blue belt level blue stopped training several year went new school good reputation felt blue belt id received stopping new club level especially break put white belt thinking coach promote ready year ago probably mistake hindsight benefit least white advantage peer however came progression rate fine made decision people started caught rank train usually time weekly rolling wise blue dominate usually tap purple roll brown even dominated usually survive without tapped bothered last six month thought training partner conversation level amount training study weekly obtaining purple belt skill level belt goal since starting back maybe vent similar experience thought,bjj
422,422,1021,asking medical advice looking potential way mitigate training inconvenience similar issue skin behind fingernail peeling nearly whole life generally deal since starting becoming problem cause pain soreness finger due grip etc main concern seems good vector staph nasties getting amp x b putting couple coat new skin help bit perfect thought combination new skin taping fingertip thought finger issue nearly identical,bjj
423,423,1557,recieved first stripe feel suffering imposter sydnrome training pretty consistently time week month day recieved stripe crushed tapped time end session coach call front reward stripe moon happened day feel deserve else experienced,bjj
424,424,508,still cleared return injury thinking either picking danaher set go daily deal gordon preference prefer thank,bjj
425,425,745,experience torn pec recovery time long taken back training drilling etc tore tendon surgery mid october repair,bjj
426,426,854,gympass allows sort thing ufc gym salsa rock climbing normal gym ufc gym near black belt coach run class day gi nogi take salsa fun footwork rock climbing help grip strength month friend mine sf train checkmat suggested join checkmat gym serious obviously going cost way maybe train ufc gym awhile see become good enough competition switch checkmat,bjj
427,427,939,gi christmas plan adding embroidery throughout year almost went low embroidery belt remove patch without ruining gi,bjj
428,428,1300,personally think improving little bit starting pick drill learning understand several month however whenever bigger guy majority gym ft lb course someone experience handed guess normal getting bit swelled ear annoying may rock headgear til stop tender early practitioner let white belt compete much tough etc fun,bjj
429,429,471,try best describe please bear similar body lock pas instead locking hand around back leg arm cup grab gi trouser opposite leg hand grabbing eg right hand cup left thigh establish grip ensure chest opponent knee sprawl hard pin head onto side hip kind throw opponent leg side pas explanation may completely utterly wrong think may name let love study bit upcoming competition success training love dive deeper person showed pas currently see competition ask,bjj
430,430,1424,recently bought elite brand gi pant hella comfortable wear around house chore walk dog something material fit non elastic waist appeal thai fisherman pant gross hippy pajama lounge pant find right waist heavier weight material anyways gi style pant pocket,bjj
431,431,966,best teaching style instructionals much technique chosen explains way come across well video format keenan andrew wiltse always struck balance generally explaining move regular understandable way christmas suggestion guy though say danaher lol,bjj
432,432,1481,planning starting class beginning better prepare body regularly lift weight x week thinking cutting back x stretching yoga x week anything specific work,bjj
