,id,Tranc_YearMonth,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,resale_price,Tranc_Year,Tranc_Month,mid_storey,lower,upper,mid,full_flat_type,address,floor_area_sqft,hdb_age,max_floor_lvl,year_completed,residential,commercial,market_hawker,multistorey_carpark,precinct_pavilion,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,postal,Latitude,Longitude,planning_area,Mall_Nearest_Distance,Mall_Within_500m,Mall_Within_1km,Mall_Within_2km,Hawker_Nearest_Distance,Hawker_Within_500m,Hawker_Within_1km,Hawker_Within_2km,hawker_food_stalls,hawker_market_stalls,mrt_nearest_distance,mrt_name,bus_interchange,mrt_interchange,mrt_latitude,mrt_longitude,bus_stop_nearest_distance,bus_stop_name,bus_stop_latitude,bus_stop_longitude,pri_sch_nearest_distance,pri_sch_name,vacancy,pri_sch_affiliation,pri_sch_latitude,pri_sch_longitude,sec_sch_nearest_dist,sec_sch_name,cutoff_point,affiliation,sec_sch_latitude,sec_sch_longitude
45701,43306,2017-05,MARINE PARADE,5 ROOM,32,MARINE CRES,07 TO 09,147.0,Adjoined flat,1975,915000.0,2017,5,8,7,9,8,5 ROOM Adjoined flat,"32, MARINE CRES",1582.308,46,18,1974,Y,N,N,N,N,195,0,0,186,0,9,0,0,0,0,0,0,0,440032,1.303178277,103.9118066,Marine Parade,762.3158554,,5.0,5.0,529.9854702,,2.0,3.0,24,87,1977.882338634135,Kembangan,0,0,1.320929673,103.91294,132.74826616158273,Blk 34,1.30425500081318,103.9123223933556,174.9205842724536,Tao Nan School,34,0,1.304631529,103.9112042,744.2299802668448,Saint Patrick's School,225,0,1.307678422,103.9167622
45713,155183,2019-07,CLEMENTI,5 ROOM,416,CLEMENTI AVE 1,19 TO 21,113.0,Improved,2013,860000.0,2019,7,20,19,21,20,5 ROOM Improved,"416, CLEMENTI AVE 1",1216.332,8,40,2012,Y,N,N,N,N,222,0,0,0,74,148,0,0,0,0,0,0,0,121416,1.309825364,103.7700732,Clementi,618.7966104,,4.0,4.0,505.0529811,,3.0,5.0,18,96,839.7911334462002,Clementi,1,0,1.315405642,103.7649827,188.2766644869653,Aft Clementi Ave 1,1.30904805161426,103.77157783850733,755.8570906585753,Pei Tong Primary School,84,0,1.316148017,103.7675763,221.1277747481765,Nan Hua High School,243,0,1.308141211,103.7690154
45719,177729,2021-04,SERANGOON,EXECUTIVE,317,SERANGOON AVE 2,10 TO 12,149.0,Maisonette,1985,888000.0,2021,4,11,10,12,11,EXECUTIVE Maisonette,"317, SERANGOON AVE 2",1603.836,36,15,1984,Y,N,N,N,N,81,0,0,0,0,0,81,0,0,0,0,0,0,550317,1.352609721,103.8662221,Serangoon,663.0534254,,1.0,4.0,1211.571183,,,4.0,46,36,379.8126254563496,Lorong Chuan,0,0,1.351734789,103.8629194,225.27972187268483,Blk 319,1.3525850182836598,103.86824850324253,469.2848232166264,Yangzheng Primary School,44,0,1.348972024,103.8683625,557.4285698159879,Zhonghua Secondary School,234,0,1.349097361,103.8698
45724,115694,2018-09,BUKIT MERAH,4 ROOM,75C,REDHILL RD,25 TO 27,100.0,Model A,2007,810000.0,2018,9,26,25,27,26,4 ROOM Model A,"75C, REDHILL RD",1076.4,14,30,2005,Y,N,N,N,N,174,0,0,0,116,58,0,0,0,0,0,0,0,153075,1.289023143,103.816276,Bukit Merah,1187.320295,,,6.0,266.2628463,2.0,5.0,16.0,0,122,119.81993610473218,Redhill,0,0,1.289485876,103.8172494,48.58932101639954,Opp Redhill Stn,1.28928144532567,103.81662854691156,360.4571933315702,Gan Eng Seng Primary School,66,0,1.285955393,103.8152282,498.62990989918495,Bukit Merah Secondary School,189,0,1.285751537,103.8132084
45769,61724,2017-11,TOA PAYOH,5 ROOM,138A,LOR 1A TOA PAYOH,40 TO 42,114.0,DBSS,2012,973888.0,2017,11,41,40,42,41,5 ROOM DBSS,"138A, LOR 1A TOA PAYOH",1227.096,9,42,2012,Y,N,N,N,N,246,0,0,19,63,164,0,0,0,0,0,0,0,311138,1.336710985,103.8454729,Toa Payoh,531.0520339,,1.0,6.0,177.4540901,2.0,4.0,9.0,40,108,496.7622202448202,Braddell,0,0,1.341078755,103.8464118,78.25887155401351,Blk 138B,1.33636138602833,103.84608389640736,265.90078557186166,Kheng Cheng School,75,0,1.337407636,103.8477611,562.9409208513854,CHIJ Secondary,243,0,1.33246213,103.8427194
45790,181732,2018-12,TAMPINES,EXECUTIVE,156,TAMPINES ST 12,04 TO 06,150.0,Maisonette,1984,780000.0,2018,12,5,4,6,5,EXECUTIVE Maisonette,"156, TAMPINES ST 12",1614.6,37,11,1983,Y,N,N,N,N,84,0,0,0,0,0,84,0,0,0,0,0,0,521156,1.351621944,103.94509,Tampines,114.6700209,4.0,5.0,6.0,561.3041112,,2.0,2.0,42,0,213.17602391495845,Tampines,1,1,1.353539082,103.9450896,137.83413949081952,Opp Century Sq,1.35162691843499,103.94385009279505,210.65998857637135,Tampines Primary School,46,0,1.350486398,103.9435731,272.25509684303967,Tampines Secondary School,203,0,1.349434801,103.9439891
45800,177202,2014-01,BISHAN,EXECUTIVE,257,BISHAN ST 22,04 TO 06,150.0,Maisonette,1992,823088.0,2014,1,5,4,6,5,EXECUTIVE Maisonette,"257, BISHAN ST 22",1614.6,29,11,1990,Y,Y,N,N,N,90,0,0,0,0,0,90,0,0,0,0,0,0,570257,1.359716874,103.8431031,Bishan,1210.483388,,,4.0,761.2687395,,3.0,9.0,32,86,1169.0517804274766,Bishan,1,1,1.350579599,103.848305,81.00343062341257,Blk 257,1.3599433334104498,103.84379568310378,584.5494608785938,Catholic High School,20,1,1.3547888769999998,103.8449341,473.30350742435394,Whitley Secondary School,188,0,1.355494624,103.8425639
45881,175916,2017-06,KALLANG/WHAMPOA,EXECUTIVE,105,JLN RAJAH,07 TO 09,150.0,Maisonette,1984,850000.0,2017,6,8,7,9,8,EXECUTIVE Maisonette,"105, JLN RAJAH",1614.6,37,9,1983,Y,N,N,N,N,72,0,0,0,0,0,72,0,0,0,0,0,0,320105,1.328265514,103.8541545,Novena,858.3238848,,2.0,9.0,528.0547524,,5.0,11.0,52,112,848.5225159890981,Toa Payoh,1,0,1.332376442,103.8477238,36.90859891530975,Curtin S'pore,1.32803305599299,103.853917500026,828.1697466522552,Hong Wen School,48,0,1.321689285,103.8576518,859.7667865256972,Bendemeer Secondary School,188,0,1.324611113,103.8609703
45915,172310,2019-09,BUKIT MERAH,5 ROOM,2,DELTA AVE,16 TO 18,122.0,Improved,1985,880000.0,2019,9,17,16,18,17,5 ROOM Improved,"2, DELTA AVE",1313.208,36,25,1985,Y,N,N,N,N,96,0,0,0,0,96,0,0,0,0,0,0,0,161002,1.291734122,103.8280261,Bukit Merah,461.7935196,1.0,2.0,27.0,357.8200936,3.0,5.0,13.0,32,0,673.5723390837487,Tiong Bahru,0,0,1.285764585,103.8269968,143.41247633576066,Blk 79,1.2906068883948798,103.82865297447871,456.7188381631421,Alexandra Primary School,54,0,1.291299035,103.8239408,561.5817209866779,Gan Eng Seng School,223,0,1.289071145,103.8237337
45925,122901,2019-12,BUKIT MERAH,4 ROOM,126A,KIM TIAN RD,28 TO 30,93.0,Model A,2013,800000.0,2019,12,29,28,30,29,4 ROOM Model A,"126A, KIM TIAN RD",1001.052,8,40,2011,Y,N,N,N,N,214,0,0,0,136,78,0,0,0,0,0,0,0,161126,1.282856548,103.8294964,Bukit Merah,476.9293007,1.0,1.0,7.0,383.7117319,2.0,5.0,18.0,83,259,426.3501261511584,Tiong Bahru,0,0,1.285764585,103.8269968,71.65707284950662,Blk 126 CP,1.2825992459880502,103.82890541983912,414.4834732129568,Zhangde Primary School,62,0,1.28449822,103.826149,929.2630556466328,Outram Secondary School,188,0,1.286387486,103.8370728
45929,71546,2019-06,GEYLANG,5 ROOM,28,CASSIA CRES,07 TO 09,120.0,Improved,1998,805000.0,2019,6,8,7,9,8,5 ROOM Improved,"28, CASSIA CRES",1291.6799999999998,23,19,1997,Y,N,N,N,N,155,0,0,0,101,54,0,0,0,0,0,0,0,391028,1.30894453,103.8835301,Geylang,790.7137872,,1.0,8.0,213.9198978,2.0,3.0,10.0,16,78,323.828856543827,Mountbatten,0,0,1.306045926,103.8832483,182.28558824293367,blk 56,1.31054638768125,103.88318148792813,573.4031832379445,Kong Hwa School,51,0,1.311114219,103.8882094,384.5304515293258,Broadrick Secondary School,188,0,1.30750538,103.8866754
45991,102918,2017-08,QUEENSTOWN,4 ROOM,129,CLARENCE LANE,13 TO 15,104.0,Model A,1996,806888.0,2017,8,14,13,15,14,4 ROOM Model A,"129, CLARENCE LANE",1119.456,25,20,1994,Y,N,N,N,N,95,0,0,0,95,0,0,0,0,0,0,0,0,140129,1.293055547,103.8144244,Queenstown,1081.848742,,,6.0,720.5844794,,3.0,13.0,0,122,506.13999889557306,Redhill,0,0,1.289485876,103.8172494,131.84483766127448,Opp SIS Bldg,1.2918699745378002,103.81440639448375,794.5416661742893,Gan Eng Seng Primary School,66,0,1.285955393,103.8152282,148.65222340144646,Queenstown Secondary School,188,0,1.2935332940000002,103.8131755
45999,62015,2018-04,TOA PAYOH,5 ROOM,139B,LOR 1A TOA PAYOH,13 TO 15,113.0,DBSS,2012,900000.0,2018,4,14,13,15,14,5 ROOM DBSS,"139B, LOR 1A TOA PAYOH",1216.332,9,42,2012,Y,N,N,N,N,246,0,0,19,63,164,0,0,0,0,0,0,0,312139,1.336711091,103.8438782,Toa Payoh,613.9391619,,1.0,6.0,189.5055916,1.0,3.0,9.0,40,108,499.71621692010194,Caldecott,0,0,1.337114855,103.8394011,47.98004918603128,Opp Philips S'pore,1.33640498933489,103.84357399610558,438.5350616940935,Kheng Cheng School,75,0,1.337407636,103.8477611,489.7093067297583,CHIJ Secondary,243,0,1.33246213,103.8427194
46100,153784,2019-05,BUKIT MERAH,5 ROOM,131B,KIM TIAN RD,16 TO 18,110.0,Improved,2002,880000.0,2019,5,17,16,18,17,5 ROOM Improved,"131B, KIM TIAN RD",1184.04,19,30,2000,Y,N,N,N,N,141,0,0,0,58,83,0,0,0,0,0,0,0,162131,1.280917569,103.8283703,Bukit Merah,628.7311717,,1.0,6.0,272.3400155,1.0,5.0,17.0,28,96,560.1743937745009,Tiong Bahru,0,0,1.285764585,103.8269968,153.8271053720825,Blk 201,1.2803950142786,103.82708906887606,468.5090090274369,Zhangde Primary School,62,0,1.28449822,103.826149,862.7114104412411,CHIJ Saint Theresa's Convent,235,0,1.276029248,103.8223439
46119,122327,2016-09,ANG MO KIO,5 ROOM,700C,ANG MO KIO AVE 6,16 TO 18,111.0,Improved,2003,825000.0,2016,9,17,16,18,17,5 ROOM Improved,"700C, ANG MO KIO AVE 6",1194.804,18,25,2000,Y,N,N,N,N,120,0,0,0,24,96,0,0,0,0,0,0,0,563700,1.369441594,103.8464882,Ang Mo Kio,221.5163773,2.0,2.0,2.0,287.3233507,1.0,6.0,10.0,45,78,383.6104640095802,Ang Mo Kio,1,0,1.369464707,103.849939,48.31322950430425,Blk 700B,1.36913518643274,103.84618005827468,651.4623651588063,Jing Shan Primary School,36,0,1.371892676,103.8518111,490.3122602479992,Ang Mo Kio Secondary School,224,0,1.367359004,103.8426004
46130,89267,2016-06,QUEENSTOWN,5 ROOM,28A,DOVER CRES,19 TO 21,124.0,Improved,2012,903000.0,2016,6,20,19,21,20,5 ROOM Improved,"28A, DOVER CRES",1334.736,9,40,2009,Y,N,N,N,N,204,0,0,0,126,78,0,0,0,0,0,0,0,131028,1.304915957,103.7821881,Queenstown,698.6433978,,2.0,4.0,960.7227765,,1.0,7.0,72,158,837.5767698013983,one-north,0,0,1.299035627,103.7868968,125.68620174868089,Opp Acs Independent,1.30515500002931,103.7810830559728,601.1137289656176,Fairfield Methodist School,32,1,1.300798691,103.7856922,411.8778250293808,Fairfield Methodist School,241,0,1.301920884,103.7843681
46131,183590,2012-09,CLEMENTI,EXECUTIVE,206,CLEMENTI AVE 6,10 TO 12,147.0,Apartment,1985,820000.0,2012,9,11,10,12,11,EXECUTIVE Apartment,"206, CLEMENTI AVE 6",1582.308,36,15,1984,Y,N,N,N,N,85,0,0,0,0,0,85,0,0,0,0,0,0,120206,1.321501158,103.7622287,Clementi,713.2435061,,2.0,3.0,938.7650638,,1.0,5.0,51,105,743.725467950798,Clementi,1,0,1.315405642,103.7649827,74.2860518476827,Blk 203,1.32085220079341,103.76206999856429,206.54725145455063,Nan Hua Primary School,20,0,1.319836638,103.761404,670.2885303978032,Clementi Town Secondary School,231,0,1.315474974,103.7620787
46144,105570,2020-11,ANG MO KIO,5 ROOM,310B,ANG MO KIO AVE 1,25 TO 27,121.0,Improved,2012,1008888.0,2020,11,26,25,27,26,5 ROOM Improved,"310B, ANG MO KIO AVE 1",1302.444,9,30,2011,Y,N,N,N,N,165,0,0,0,107,58,0,0,0,0,0,0,0,562310,1.364643209,103.8442566,Ang Mo Kio,704.3499756,,2.0,4.0,455.225938,1.0,4.0,11.0,32,86,828.5188702908054,Ang Mo Kio,1,0,1.369464707,103.849939,79.90578039000386,Blk 310C,1.3643366490774098,103.84490672378502,755.7446123861272,Teck Ghee Primary School,47,0,1.365200631,103.8510322,353.679968472862,Ang Mo Kio Secondary School,224,0,1.367359004,103.8426004
46155,99642,2017-12,ANG MO KIO,5 ROOM,596C,ANG MO KIO ST 52,25 TO 27,110.0,Improved,2002,858000.0,2017,12,26,25,27,26,5 ROOM Improved,"596C, ANG MO KIO ST 52",1184.04,19,28,2000,Y,N,N,N,N,135,0,0,0,81,54,0,0,0,0,0,0,0,563596,1.371935719,103.8501433,Ang Mo Kio,337.0943234,2.0,2.0,3.0,405.9970598,2.0,4.0,9.0,45,78,275.70097395603705,Ang Mo Kio,1,0,1.369464707,103.849939,176.24434320216966,Bef Ang Mo Kio Stn Exit B,1.37137302300723,103.848661116474,185.45950710007563,Jing Shan Primary School,36,0,1.371892676,103.8518111,293.6567298438771,Anderson Secondary School,245,0,1.374242189,103.85143
46222,184054,2012-10,CLEMENTI,EXECUTIVE,115,CLEMENTI ST 13,07 TO 09,146.0,Maisonette,1985,870000.0,2012,10,8,7,9,8,EXECUTIVE Maisonette,"115, CLEMENTI ST 13",1571.544,36,15,1984,Y,N,N,N,N,98,0,0,0,0,0,98,0,0,0,0,0,0,120115,1.323545133,103.7713288,Clementi,1165.230226,,,4.0,1019.945989,,,5.0,18,96,1147.5345744269323,Clementi,1,0,1.315405642,103.7649827,109.84453358343252,Blk 116,1.32402249998323,103.77219388896604,922.2552434026724,Pei Tong Primary School,84,0,1.316148017,103.7675763,1364.7855447031209,Clementi Town Secondary School,231,0,1.315474974,103.7620787
46244,23754,2019-09,ANG MO KIO,EXECUTIVE,504,ANG MO KIO AVE 8,04 TO 06,163.0,Adjoined flat,1980,850888.0,2019,9,5,4,6,5,EXECUTIVE Adjoined flat,"504, ANG MO KIO AVE 8",1754.532,41,11,1979,Y,N,N,N,N,155,0,0,129,20,2,3,0,0,0,0,1,0,560504,1.374825895,103.8489561,Ang Mo Kio,460.6870571,1.0,2.0,2.0,412.0815026,1.0,2.0,9.0,45,78,606.0671821854407,Ang Mo Kio,1,0,1.369464707,103.849939,94.76026733448002,Blk 504,1.37477333299627,103.84810527802902,455.0864328071086,Jing Shan Primary School,36,0,1.371892676,103.8518111,282.5614328592371,Anderson Secondary School,245,0,1.374242189,103.85143
46264,30769,2018-12,ANG MO KIO,EXECUTIVE,509,ANG MO KIO AVE 8,07 TO 09,155.0,Adjoined flat,1980,835000.0,2018,12,8,7,9,8,EXECUTIVE Adjoined flat,"509, ANG MO KIO AVE 8",1668.4199999999998,41,12,1979,Y,N,N,N,N,150,0,0,123,22,1,3,0,0,0,0,1,0,560509,1.374000865,103.8501398,Ang Mo Kio,516.7741656,,2.0,3.0,459.7771028,1.0,3.0,9.0,45,78,504.8914215739324,Ang Mo Kio,1,0,1.369464707,103.849939,72.8011399482149,Blk 507,1.3741816948901695,103.85076922983176,299.11437292375524,Jing Shan Primary School,36,0,1.371892676,103.8518111,145.91113518957974,Anderson Secondary School,245,0,1.374242189,103.85143
46273,62370,2020-06,QUEENSTOWN,4 ROOM,61A,STRATHMORE AVE,16 TO 18,98.0,Model A,2011,812888.0,2020,6,17,16,18,17,4 ROOM Model A,"61A, STRATHMORE AVE",1054.8719999999998,10,27,2010,Y,N,N,N,N,180,0,10,26,78,0,0,0,66,0,0,0,0,142061,1.293860989,103.8115839,Queenstown,859.684235,,2.0,5.0,846.5238784,,2.0,11.0,96,48,602.3462750429873,Queenstown,0,0,1.294250313,103.8061795,170.199108520861,Aft Dawson Rd,1.29233498466278,103.81146486767658,472.75858676074,Queenstown Primary School,60,0,1.295988446,103.8079019,180.6458456903985,Queenstown Secondary School,188,0,1.2935332940000002,103.8131755
46354,165053,2021-03,BUKIT BATOK,EXECUTIVE,289C,BT BATOK ST 25,01 TO 03,165.0,Maisonette,1997,800000.0,2021,3,2,1,3,2,EXECUTIVE Maisonette,"289C, BT BATOK ST 25",1776.06,24,17,1997,Y,N,N,N,N,112,0,0,0,0,96,16,0,0,0,0,0,0,652289,1.343607249,103.7599425,Bukit Batok,1416.585435,,,4.0,1818.620017,,,1.0,84,95,1291.2197483681443,Bukit Batok,1,0,1.34956122,103.74997009999998,156.24927148948694,Blk 289E,1.34406411828167,103.75861329619693,447.5873996482784,Keming Primary School,39,0,1.3452450530000002,103.7562645,141.82083636439714,Yusof Ishak Secondary School,188,0,1.3423337780000002,103.7600131
46364,86426,2016-06,BUKIT MERAH,4 ROOM,75B,REDHILL RD,28 TO 30,100.0,Model A,2005,835000.0,2016,6,29,28,30,29,4 ROOM Model A,"75B, REDHILL RD",1076.4,16,30,2005,Y,N,N,N,N,174,0,0,0,116,58,0,0,0,0,0,0,0,152075,1.288480938,103.8158788,Bukit Merah,1144.176277,,,5.0,287.3315396,2.0,5.0,16.0,0,122,188.94940504077195,Redhill,0,0,1.289485876,103.8172494,108.4211091116176,Blk 63B,1.2889706156154,103.81503540991775,289.9916850896898,Gan Eng Seng Primary School,66,0,1.285955393,103.8152282,424.5414130824773,Bukit Merah Secondary School,189,0,1.285751537,103.8132084
46369,70678,2015-04,CENTRAL AREA,4 ROOM,1C,CANTONMENT RD,07 TO 09,95.0,Type S1,2011,804000.0,2015,4,8,7,9,8,4 ROOM Type S1,"1C, CANTONMENT RD",1022.58,10,50,2009,Y,N,N,N,N,264,0,0,0,176,88,0,0,0,0,0,0,0,85301,1.277449094,103.8416667,Outram,374.6738534,1.0,4.0,11.0,193.7754256,2.0,7.0,11.0,52,108,570.738710276849,Outram Park,0,1,1.281604154,103.8386525,122.66347855506416,Bef The Pinnacle@Duxton,1.27854113014976,103.8415105424013,290.3404423184685,Cantonment Primary School,58,0,1.275505441,103.8399227,1117.4299356151482,Outram Secondary School,188,0,1.286387486,103.8370728
46385,78999,2014-11,BUKIT MERAH,4 ROOM,76A,REDHILL RD,28 TO 30,100.0,Model A,2005,795000.0,2014,11,29,28,30,29,4 ROOM Model A,"76A, REDHILL RD",1076.4,16,30,2004,Y,N,N,N,N,174,0,0,0,116,58,0,0,0,0,0,0,0,151076,1.28871632,103.8168546,Bukit Merah,1173.279645,,,6.0,193.4796756,2.0,5.0,16.0,0,122,96.16944371519288,Redhill,0,0,1.289485876,103.8172494,67.67750880025157,Opp Redhill Stn,1.28928144532567,103.81662854691156,356.28492084526465,Gan Eng Seng Primary School,66,0,1.285955393,103.8152282,517.5694853315196,Crescent Girls' School,241,0,1.293305114,103.8176348
46395,70567,2016-10,CENTRAL AREA,4 ROOM,1A,CANTONMENT RD,28 TO 30,95.0,Type S1,2011,850000.0,2016,10,29,28,30,29,4 ROOM Type S1,"1A, CANTONMENT RD",1022.58,10,50,2009,Y,N,N,N,N,264,0,0,0,176,88,0,0,0,0,0,0,0,85101,1.27784271,103.8409659,Outram,455.2057825,1.0,4.0,12.0,282.9999514,2.0,7.0,13.0,52,108,490.99342293143184,Outram Park,0,1,1.281604154,103.8386525,98.47366748281652,Bef The Pinnacle@Duxton,1.27854113014976,103.8415105424013,284.5928172310146,Cantonment Primary School,58,0,1.275505441,103.8399227,1044.059589861729,Outram Secondary School,188,0,1.286387486,103.8370728
46454,183077,2017-04,JURONG WEST,EXECUTIVE,472,JURONG WEST ST 41,04 TO 06,151.0,Maisonette,1985,790000.0,2017,4,5,4,6,5,EXECUTIVE Maisonette,"472, JURONG WEST ST 41",1625.3639999999998,36,15,1984,Y,N,N,N,N,84,0,0,0,0,0,84,0,0,0,0,0,0,640472,1.348123833,103.7224939,Jurong West,1131.901973,,,2.0,481.5603405,1.0,1.0,5.0,60,130,477.4327775565786,Lakeside,0,0,1.3440753769999998,103.7210633,115.13704810830208,Yuhua Sec Sch,1.3473374466539298,103.72316770207858,120.9844759535802,Shuqun Primary School,29,0,1.34756849,103.721558,101.14397753352412,Yuhua Secondary School,188,0,1.347218449,103.7225815
46513,144250,2017-11,BISHAN,5 ROOM,273B,BISHAN ST 24,25 TO 27,120.0,DBSS,2011,1020000.0,2017,11,26,25,27,26,5 ROOM DBSS,"273B, BISHAN ST 24",1291.6799999999998,10,40,2011,Y,N,N,N,N,160,0,0,0,40,120,0,0,0,0,0,0,0,572273,1.356072993,103.8434702,Bishan,854.6218782,,1.0,4.0,857.372249,,1.0,8.0,31,51,813.6219472891164,Bishan,1,1,1.350579599,103.848305,216.7609864825368,Whitley Sec Sch,1.35548111090619,103.84161232917472,216.49506649027705,Catholic High School,20,1,1.3547888769999998,103.8449341,119.5244895022754,Whitley Secondary School,188,0,1.355494624,103.8425639
46530,177188,2016-05,BISHAN,EXECUTIVE,257,BISHAN ST 22,04 TO 06,147.0,Maisonette,1992,800000.0,2016,5,5,4,6,5,EXECUTIVE Maisonette,"257, BISHAN ST 22",1582.308,29,11,1990,Y,Y,N,N,N,90,0,0,0,0,0,90,0,0,0,0,0,0,570257,1.359716874,103.8431031,Bishan,1210.483388,,,4.0,761.2687395,,3.0,9.0,32,86,1169.0517804274766,Bishan,1,1,1.350579599,103.848305,81.00343062341257,Blk 257,1.3599433334104498,103.84379568310378,584.5494608785938,Catholic High School,20,1,1.3547888769999998,103.8449341,473.30350742435394,Whitley Secondary School,188,0,1.355494624,103.8425639
46581,66133,2020-11,CLEMENTI,5 ROOM,311C,CLEMENTI AVE 4,31 TO 33,105.0,DBSS,2014,1009888.0,2020,11,32,31,33,32,5 ROOM DBSS,"311C, CLEMENTI AVE 4",1130.22,7,40,2015,Y,Y,N,N,N,296,0,0,74,148,74,0,0,0,0,0,0,0,123311,1.320105793,103.7655735,Clementi,521.7319794,,3.0,4.0,755.0433148,,2.0,5.0,51,105,526.7434007017241,Clementi,1,0,1.315405642,103.7649827,191.5143262473352,Blk 304,1.32049089180327,103.76389432891798,464.46946741908187,Nan Hua Primary School,20,0,1.319836638,103.761404,645.0422572728993,Clementi Town Secondary School,231,0,1.315474974,103.7620787
46613,159211,2021-02,TAMPINES,5 ROOM,519B,TAMPINES CTRL 8,13 TO 15,109.0,DBSS,2014,863500.0,2021,2,14,13,15,14,5 ROOM DBSS,"519B, TAMPINES CTRL 8",1173.2759999999998,7,16,2014,Y,N,N,N,N,120,0,0,0,64,56,0,0,0,0,0,0,0,522519,1.357433654,103.9400517,Tampines,487.2002456,2.0,5.0,6.0,492.5349715,1.0,1.0,2.0,42,0,707.9364970264406,Tampines,1,1,1.353539082,103.9450896,51.91555615067312,BLK 519A,1.357528889,103.9405089,527.4080338905324,Poi Ching School,70,0,1.358087001,103.9353525,867.1547446930922,Junyuan Secondary School,188,0,1.353341241,103.9334114
46647,146837,2018-05,ANG MO KIO,5 ROOM,588C,ANG MO KIO ST 52,22 TO 24,112.0,DBSS,2011,810000.0,2018,5,23,22,24,23,5 ROOM DBSS,"588C, ANG MO KIO ST 52",1205.568,10,30,2011,Y,N,N,N,N,145,0,0,0,30,115,0,0,0,0,0,0,0,563588,1.37183157,103.853671,Ang Mo Kio,637.9047137,,2.0,3.0,129.9264247,2.0,3.0,11.0,50,100,491.29909414162256,Ang Mo Kio,1,0,1.369464707,103.849939,84.9255146474926,Blk 527,1.37235305596731,103.8542291670297,206.8637848321083,Jing Shan Primary School,36,0,1.371892676,103.8518111,365.9357538482285,Anderson Secondary School,245,0,1.374242189,103.85143
46672,156397,2019-08,BUKIT MERAH,4 ROOM,9B,BOON TIONG RD,40 TO 42,92.0,Model A,2016,1050000.0,2019,8,41,40,42,41,4 ROOM Model A,"9B, BOON TIONG RD",990.288,5,40,2014,Y,N,N,N,N,156,0,0,0,78,78,0,0,0,0,0,0,0,163009,1.286814173,103.8289283,Bukit Merah,200.6035595,1.0,2.0,17.0,159.8156613,3.0,6.0,17.0,30,0,244.38730659886764,Tiong Bahru,0,0,1.285764585,103.8269968,129.45181506999165,Ctrl Green Condo,1.28572048365401,103.82852922870951,402.2161679121133,Zhangde Primary School,62,0,1.28449822,103.826149,629.6437553255123,Gan Eng Seng School,223,0,1.289071145,103.8237337
46679,74072,2020-08,QUEENSTOWN,4 ROOM,91,TANGLIN HALT RD,34 TO 36,90.0,Model A,2008,810000.0,2020,8,35,34,36,35,4 ROOM Model A,"91, TANGLIN HALT RD",968.76,13,40,2007,Y,N,N,N,N,331,0,3,0,254,39,0,0,35,0,0,0,0,142091,1.300727923,103.7994173,Queenstown,1252.549574,,,6.0,193.4059415,2.0,4.0,10.0,28,89,167.06930385741018,Commonwealth,0,0,1.302083048,103.7987682,193.47564608976813,C'Wealth Stn Exit A/D,1.30213305598263,103.7983908330214,118.70485760270138,New Town Primary School,82,0,1.299811388,103.7999648,257.9186630937637,Queensway Secondary School,214,0,1.300475167,103.8017236
46700,178718,2017-03,SERANGOON,EXECUTIVE,321,SERANGOON AVE 2,04 TO 06,146.0,Maisonette,1986,858000.0,2017,3,5,4,6,5,EXECUTIVE Maisonette,"321, SERANGOON AVE 2",1571.544,35,11,1985,Y,N,N,N,N,90,0,0,0,0,0,90,0,0,0,0,0,0,550321,1.351205269,103.8677695,Serangoon,459.1565113,1.0,1.0,3.0,1366.733512,,,4.0,46,36,542.3620288092379,Lorong Chuan,0,0,1.351734789,103.8629194,162.3988286308327,Blk 319,1.3525850182836598,103.86824850324253,256.926147087448,Yangzheng Primary School,44,0,1.348972024,103.8683625,325.402741336224,Zhonghua Secondary School,234,0,1.349097361,103.8698
46707,115671,2013-03,BUKIT MERAH,5 ROOM,23,JLN MEMBINA,13 TO 15,110.0,Improved,2003,880000.0,2013,3,14,13,15,14,5 ROOM Improved,"23, JLN MEMBINA",1184.04,18,30,2001,Y,N,N,N,N,156,0,0,0,69,87,0,0,0,0,0,0,0,163023,1.284748327,103.8268757,Bukit Merah,193.0850957,1.0,1.0,4.0,415.5832341,2.0,7.0,14.0,32,62,113.80180947248304,Tiong Bahru,0,0,1.285764585,103.8269968,133.16192139799068,Opp Tiong Bahru Stn,1.28593135445772,103.82668969231536,85.43801499271504,Zhangde Primary School,62,0,1.28449822,103.826149,594.1799504982924,Gan Eng Seng School,223,0,1.289071145,103.8237337
